Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
SATS,"Echostar Corp",21.2,0.51,+2.46%,20.79,21.54,20.72,514991,"12:51 ET"
SBAC,"SBA Communications",277.39,1.47,+0.53%,276.02,279.44,274.7,174500,"12:50 ET"
SBNY,"Signature Bank",134.75,2.59,+1.96%,133.07,136.16,132.98,117291,"12:42 ET"
SBUX,"Starbucks Corp",102.45,0.040000000000006,+0.04%,102.29,102.67,102.02,1179742,"12:52 ET"
SC,"Santander Consumer USA Holdings",21.85,1,+4.80%,20.95,21.85,20.95,190362,"12:51 ET"
SCCO,"Southern Peru Copper Corp",63.96,0.86,+1.36%,63.43,64.38,63.4,282843,"12:51 ET"
SCHW,"The Charles Schwab Corp",52.42,0.78,+1.51%,51.85,52.71,51.6,1602354,"12:52 ET"
SCI,"Service Corp International",48.7,0.2,+0.41%,48.66,49.1,48.66,130911,"12:51 ET"
SEB,"Seaboard Corp",3117.09,9.9499999999998,+0.32%,3144.75,3155.69,3109.93,372,"12:37 ET"
SEDG,"Solaredge Tech",326.38,3.86,+1.20%,328.84,334.39,320.21,464899,"12:52 ET"
SEE,"Sealed Air Corp",45.95,0.78,+1.73%,45.16,46.12,45.16,250955,"12:52 ET"
SEIC,"Sei Investments Company",56.72,0.83,+1.49%,56.14,56.78,56.14,128627,"12:49 ET"
SFM,"Sprouts Farmers Mark",20.47,0.26,+1.29%,20.23,20.68,20.2,357415,"12:51 ET"
SGEN,"Seattle Genetics Inc",191.59,-5.32,-2.70%,197.05,197.05,188.79,318262,"12:51 ET"
SHW,"Sherwin-Williams Company",730.36,-6.71,-0.91%,737.52,740.6,730,88105,"12:49 ET"
SIRI,"Sirius XM Holdings",6.29,0.02,+0.32%,6.28,6.31,6.25,7704603,"12:51 ET"
SIVB,"Svb Financial Group",378.6,10.4,+2.82%,371,379,368.85,79007,"12:50 ET"
SIX,"Six Flags Entertainment Corp",33.74,1.42,+4.39%,32.7,34.33,32.7,590026,"12:51 ET"
SJM,"J.M. Smucker Company",115.74,1.01,+0.88%,115.38,116.25,114.85,154238,"12:51 ET"
SKX,"Skechers U.S.A.",36.69,0.46,+1.27%,36.46,37,36.31,186330,"12:50 ET"
SLB,"Schlumberger N.V.",21.92,0.56,+2.62%,21.5,22.3,21.45,4237922,"12:52 ET"
SLG,"SL Green Realty Corp",56.3,0.34999999999999,+0.63%,56.56,57.34,56.13,401796,"12:51 ET"
SLGN,"Silgan Holdings",36.65,0.33,+0.91%,36.23,36.7,36.23,92713,"12:49 ET"
SLM,"SLM Corp",12.24,-0.12,-0.97%,12.36,12.42,12.23,1636174,"12:51 ET"
SMAR,"Smartsheet Inc Cl A",72.7,-1.16,-1.57%,73.5,73.84,71.82,359520,"12:49 ET"
SMG,"Scotts Miracle-Gro Company",201,1.07,+0.54%,199.4,201.32,197.44,63976,"12:42 ET"
SNA,"Snap-On Inc",168.64,1.1,+0.66%,168.24,169.58,167.34,87685,"12:49 ET"
SNDR,"Schneider National Inc",20.73,0.050000000000001,+0.24%,20.81,20.9,20.61,132593,"12:51 ET"
SNPS,"Synopsys Inc",256.76,-1.29,-0.50%,259.03,260.26,256.47,201754,"12:52 ET"
SNV,"Synovus Financial Corp",32.48,0.74,+2.33%,31.99,32.7,31.94,295505,"12:50 ET"
SNX,"Synnex Corp",82.08,0.81,+1.00%,81.65,82.29,80.99,86274,"12:36 ET"
SO,"Southern Company",60.15,0.43,+0.72%,60.01,60.37,59.86,644206,"12:50 ET"
SON,"Sonoco Products Company",59.64,0.29,+0.49%,59.48,60.34,59.38,122213,"12:49 ET"
SPB,"Spectrum Brands Holdings Inc",75.48,1.16,+1.56%,73.91,75.48,73.32,244419,"12:46 ET"
SPCE,"Virgin Galactic Holdings Inc",26.51,1.04,+4.08%,25.55,27.44,25.23,12426476,"12:52 ET"
SPG,"Simon Property Group",84.56,2.14,+2.60%,83.34,85.21,82.88,1468805,"12:50 ET"
SPGI,"S&P Global Inc",319.14,0.20999999999998,+0.07%,320,321.57,318.41,384354,"12:50 ET"
SPLK,"Splunk Inc",185.52,8.52,+4.81%,177.56,185.73,177,1692916,"12:50 ET"
SPOT,"Spotify Technology S.A.",334.06,12.1,+3.76%,322.15,335.56,321.59,640398,"12:49 ET"
SPR,"Spirit Aerosystems Holdings",38.58,1.83,+4.98%,37.25,39.23,36.97,2343116,"12:51 ET"
SQ,Square,232.55,-9.03,-3.74%,241.36,245.61,230.99,7727536,"12:52 ET"
SRC,"Spirit Realty Capital Inc",39.93,-0.079999999999998,-0.20%,40.26,40.81,39.82,213195,"12:50 ET"
SRCL,"Stericycle Inc",69.73,0.77000000000001,+1.12%,69.32,70.42,68.98,140222,"12:47 ET"
SRE,"Sempra Energy",127.11,0.84,+0.67%,127.15,127.85,126.66,240045,"12:49 ET"
SRPT,"Sarepta Therapeutics",175.025,-3.715,-2.08%,178.14,178.14,173.95,256143,"12:51 ET"
SSNC,"SS&C Technologies",72.06,0.60000000000001,+0.84%,71.68,72.17,71.32,162182,"12:51 ET"
ST,"Sensata Technologies Holding N.V.",52.27,1.53,+3.02%,51.54,52.54,51.49,428720,"12:51 ET"
STAY,"Extended Stay America Inc",13.97,0.2,+1.45%,13.81,14.1,13.81,183965,"12:51 ET"
STE,"Steris Corp",184.24,1.65,+0.90%,183.14,184.93,182.35,57109,"12:50 ET"
STL,"Sterling Bancorp",18.04,0.79,+4.58%,17.55,18.18,17.49,1673450,"12:52 ET"
STLD,"Steel Dynamics Inc",36.36,0.019999999999996,+0.06%,36.48,36.91,36.21,353812,"12:52 ET"
STNE,"Stoneco Ltd Cl A",84.2,-1.34,-1.57%,85.43,87,83.9,1096620,"12:51 ET"
STOR,"Store Capital Corpstore Capital",33,-0.13,-0.39%,33.5,33.76,32.95,549514,"12:51 ET"
STT,"State Street Corp",71.87,1.68,+2.39%,70.52,72.47,70.52,465884,"12:51 ET"
STWD,"Starwood Property Trust",19.75,0.5,+2.60%,19.34,19.79,19.3,685371,"12:50 ET"
STZ,"Constellation Brands Inc",216.1,3.15,+1.48%,214.26,216.25,212.89,126363,"12:52 ET"
SUI,"Sun Communities",146.06,-1.12,-0.76%,147.43,148.27,146.04,126997,"12:47 ET"
SWCH,"Switch Inc",16.4,0.02,+0.12%,16.43,16.55,16.3,356558,"12:52 ET"
SWI,"Solarwinds Corp",16.02,0.13,+0.82%,15.97,16.18,15.21,2955913,"12:52 ET"
SWK,"Stanley Black & Decker Inc",177.99,-1.03,-0.58%,179.03,180.3,177.21,235090,"12:50 ET"
SWKS,"Skyworks Solutions",151.77,2.34,+1.57%,150.09,151.82,148.74,571956,"12:50 ET"
