Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",118.02,0.64999999999999,+0.55%,118.89,117.65,421318,"12:52 ET"
AAL,"American Airlines Gp",15.93,0.45,+2.91%,16.17,15.25,45483841,"12:52 ET"
AAP,"Advance Auto Parts Inc",158.53,-0.87,-0.55%,160.46,158.5,263329,"12:53 ET"
AAPL,"Apple Inc",131.95,0.069999999999993,+0.05%,132.58,130.78,48826761,"12:53 ET"
ABBV,"Abbvie Inc",103.76,0.96000000000001,+0.93%,103.93,102.85,1468402,"12:52 ET"
ABC,"Amerisourcebergen Corp",97.5,0.78,+0.81%,97.6,96.67,193084,"12:52 ET"
ABMD,"Abiomed Inc",306.88,4.55,+1.50%,309.13,300.81,55169,"12:51 ET"
ABT,"Abbott Laboratories",108.69,0.41,+0.38%,109.68,108.18,907358,"12:53 ET"
ACN,"Accenture Plc",259.68,0.20999999999998,+0.08%,261.92,259.02,610805,"12:52 ET"
ADBE,"Adobe Systems Inc",501.19,-2.98,-0.59%,506,498.66,559484,"12:51 ET"
ADI,"Analog Devices",144.43,0.15000000000001,+0.10%,145.62,144.1,697772,"12:53 ET"
ADM,"Archer Daniels Midland",49.29,0.56,+1.15%,49.45,48.73,420720,"12:53 ET"
ADP,"Automatic Data Procs",176.13,-0.21000000000001,-0.12%,178.26,175.61,332261,"12:52 ET"
ADSK,"Autodesk Inc",302.5,-1.36,-0.45%,307.22,300.07,252119,"12:49 ET"
AEE,"Ameren Corp",76.38,-0.17,-0.22%,77.17,76.05,422840,"12:52 ET"
AEP,"American Electric Power Company",81.39,-0.010000000000005,-0.01%,82.27,81.33,785378,"12:53 ET"
AES,"The Aes Corp",23.46,0.64,+2.80%,23.46,23,1814304,"12:53 ET"
AFL,"Aflac Inc",43.68,0.65,+1.51%,43.9,42.7,881600,"12:50 ET"
AIG,"American International Group",37.54,0.74,+2.01%,38.04,37.24,1509924,"12:53 ET"
AIZ,"Assurant Inc",132.07,0.57999999999998,+0.44%,133.45,131.57,80673,"12:51 ET"
AJG,"Arthur J. Gallagher & Company",123.69,-0.12,-0.10%,124.74,123.49,161709,"12:49 ET"
AKAM,"Akamai Technologies",107.57,0.92999999999999,+0.87%,108.06,106.8,405211,"12:53 ET"
ALB,"Albemarle Corp",151.52,5.25,+3.59%,152.84,147.26,797282,"12:47 ET"
ALGN,"Align Technology",531.24,-5.35,-1.00%,543.65,530.12,98762,"12:53 ET"
ALK,"Alaska Air Group",51.65,1.3,+2.58%,52.72,50.5,1197117,"12:52 ET"
ALL,"Allstate Corp",106.65,0.46000000000001,+0.43%,107.55,106.25,399556,"12:52 ET"
ALLE,"Allegion Plc",112.94,0.55,+0.49%,113.44,111.7,77675,"12:47 ET"
ALXN,"Alexion Pharm Inc",153.67,-0.14000000000001,-0.09%,154.23,153.35,1244585,"12:53 ET"
AMAT,"Applied Materials",85.16,-0.48,-0.56%,86.5,84.73,1420219,"12:53 ET"
AMCR,"Amcor Plc",11.57,0.07,+0.61%,11.66,11.53,695610,"12:45 ET"
AMD,"Adv Micro Devices",91.77,-1.39,-1.49%,93.13,91.46,14962080,"12:53 ET"
AME,"Amtek Inc",119.28,1.62,+1.38%,119.44,117.53,150518,"12:50 ET"
AMGN,"Amgen Inc",222.8,1.81,+0.82%,223.45,220.66,706561,"12:51 ET"
AMP,"Ameriprise Financial Services",188.25,3.19,+1.72%,188.7,185.43,185028,"12:49 ET"
AMT,"American Tower Corp",221.01,0.51999999999998,+0.24%,223.6,220.92,537439,"12:52 ET"
AMZN,"Amazon.com Inc",3200.74,-5.7800000000002,-0.18%,3206.2,3184.17,1034700,"12:52 ET"
ANET,"Arista Networks Inc",290.32,-0.5,-0.17%,292.41,287.7,101844,"12:51 ET"
ANSS,"Ansys Inc",363.68,1.37,+0.38%,369.82,362.4,141856,"12:52 ET"
ANTM,"Anthem Inc",311.11,7.81,+2.58%,311.62,306.43,286746,"12:53 ET"
AON,"AON Plc",209.12,-0.10999999999999,-0.05%,211.66,208.63,431935,"12:52 ET"
AOS,"Smith A.O. Corp",55.21,-0.15,-0.27%,55.51,54.71,185641,"12:52 ET"
APA,"Apache Corp",14.79,0.67,+4.75%,15.17,14.23,4553727,"12:52 ET"
APD,"Air Products and Chemicals",267.31,3.3,+1.25%,268.98,264.01,273039,"12:53 ET"
APH,"Amphenol Corp",129.77,0.90000000000001,+0.70%,130.22,128.67,442586,"12:52 ET"
APTV,"Aptiv Plc",128.62,3.58,+2.86%,129.45,126.31,606995,"12:50 ET"
