Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
HOG,"Harley-Davidson Inc",37.96,1.63,+4.49%,38.08,36.7,601342,"12:53 ET"
HOMB,"Home Bancshares Inc",19.24,0.33,+1.75%,19.4,18.98,108482,"12:48 ET"
HPP,"Hudson Pacific Properties",23.88,-0.12,-0.50%,24.33,23.84,336709,"12:53 ET"
HQY,Healthequity,69.25,1.25,+1.84%,69.72,68.27,113780,"12:50 ET"
HR,"Healthcare Realty Trust Inc",29.4,-0.21,-0.71%,29.77,29.34,412415,"12:52 ET"
HRB,"H&R Block",15.33,0.17,+1.12%,15.59,15.28,1434227,"12:53 ET"
HRC,"Hill-Rom Holdings Inc",97.48,1.17,+1.21%,97.86,96.37,81266,"12:48 ET"
HUBB,"Hubbell Inc B",159.61,1.73,+1.10%,160.77,158.56,63943,"12:50 ET"
HWC,"Hancock Whitney Corp",33.41,0.8,+2.45%,33.69,32.54,115014,"12:51 ET"
HXL,"Hexcel Corp",49.05,1.73,+3.66%,49.57,47.32,396552,"12:52 ET"
IAA,"Iaa Inc",64.56,0.14,+0.22%,65.58,64.22,161029,"12:52 ET"
IART,"Integra Lifesciences",65.07,0.5,+0.77%,65.75,64.24,53088,"12:51 ET"
IBKR,"Interactive Brokers",60.89,0.45,+0.74%,61.35,60.19,208549,"12:53 ET"
IBOC,"Intl Bancshares",37.69,1.01,+2.75%,37.76,36.89,42625,"12:47 ET"
ICUI,"I C U Medical Inc",212.51,3.69,+1.77%,212.59,207.29,21886,"12:47 ET"
IDA,"Idacorp Inc",94.91,0.47,+0.50%,96.11,94.49,60678,"12:42 ET"
IDCC,"Interdigital Inc",61.98,-0.039999999999999,-0.06%,62.39,61.76,24839,"12:43 ET"
IIVI,"I I V I Inc",77.84,-0.27,-0.35%,78.94,77.07,581442,"12:53 ET"
INGR,"Ingredion Inc",79.15,0.82000000000001,+1.05%,79.33,78.61,107275,"12:47 ET"
INT,"World Fuel Services Corp",31.06,0.98,+3.26%,31.19,30.33,172920,"12:50 ET"
ITT,"ITT Inc",76.32,0.13,+0.17%,77.49,76.13,69626,"12:53 ET"
JACK,"Jack IN The Box Inc",93.29,-0.27,-0.29%,94.3,92.56,122524,"12:51 ET"
JAZZ,"Jazz Pharma Plc",154.48,2.97,+1.96%,154.75,151.66,133935,"12:53 ET"
JBGS,"Jbg Smith Properties",31.18,0.02,+0.06%,31.68,31.05,102142,"12:51 ET"
JBL,"Jabil Circuit",43.32,0.68,+1.59%,43.65,42.82,296966,"12:53 ET"
JBLU,"Jetblue Airways Cp",14.45,0.57,+4.11%,14.59,14,4566021,"12:53 ET"
JCOM,"J2 Global Inc",98.54,0.38000000000001,+0.39%,99.27,98.04,79869,"12:53 ET"
JEF,"Jefferies Financial Group Inc",23.8,0.87,+3.79%,23.81,23.03,376849,"12:53 ET"
JHG,"Janus Henderson Group Plc",32.17,0.37,+1.16%,32.56,31.92,234039,"12:37 ET"
JLL,"Jones Lang Lasalle Inc",152.66,3.59,+2.41%,153.27,149.6,102819,"12:51 ET"
JW.A,"John Wiley Sons Cl A",44.63,0.24,+0.54%,45,43.92,66309,"12:53 ET"
JWN,Nordstrom,30.69,1.36,+4.64%,30.78,29.68,1806857,"12:53 ET"
KAR,"Kar Auction Services Inc",18.4,0.3,+1.66%,18.62,18.1,271315,"12:51 ET"
KBH,"KB Home",35.08,-0.5,-1.41%,35.72,34.75,402684,"12:53 ET"
KBR,"KBR Inc",29.9,0.28,+0.95%,30.39,29.71,466663,"12:49 ET"
KEX,"Kirby Corp",51.09,1.2,+2.41%,51.35,49.95,89490,"12:44 ET"
